ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12043462,JD224030,05/01/2020 12:00:00 PM,014XX S KARLOV AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1011,010,24,29,07,1149286,1892719,2020,05/08/2020 03:50:02 PM,41.861544025,-87.727478171,"(41.861544025, -87.727478171)"
12034913,JD208773,04/13/2020 08:35:00 PM,087XX S STONY ISLAND AVE,0560,ASSAULT,SIMPLE,MEDICAL / DENTAL OFFICE,false,false,0412,004,8,48,08A,1188438,1847365,2020,04/24/2020 03:45:07 PM,41.736241394,-87.585208942,"(41.736241394, -87.585208942)"
12052898,JD234970,05/17/2020 10:00:00 AM,066XX S CALIFORNIA AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,0831,008,17,66,08A,1158854,1860528,2020,05/24/2020 03:45:47 PM,41.773017274,-87.693235891,"(41.773017274, -87.693235891)"
12061277,JD243914,05/26/2020 10:30:00 PM,082XX S MARYLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,false,0631,006,8,44,14,1183336,1850642,2020,06/02/2020 03:49:38 PM,41.745354023,-87.603798903,"(41.745354023, -87.603798903)"
12042781,JD222631,05/02/2020 08:26:00 PM,096XX S MERRION AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,true,false,0431,004,7,51,04A,1192667,1841619,2020,05/13/2020 03:47:44 PM,41.720371905,-87.569902327,"(41.720371905, -87.569902327)"
12117484,JD310985,07/26/2020 07:20:00 PM,073XX S COLES AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0334,003,7,43,14,1194847,1857108,2020,08/02/2020 03:49:03 PM,41.762821678,-87.561408794,"(41.762821678, -87.561408794)"
11974252,JD142988,02/06/2020 11:00:00 PM,040XX N KENMORE AVE,0820,THEFT,$500 AND UNDER,ALLEY,false,false,1915,019,46,3,06,1168441,1927156,2020,02/13/2020 03:52:06 PM,41.955648785,-87.65616575,"(41.955648785, -87.65616575)"
12049452,JD230962,05/12/2020 10:00:00 AM,008XX S INDEPENDENCE BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,false,false,1133,011,24,26,26,1151229,1895983,2020,05/19/2020 03:51:22 PM,41.87046297,-87.720260149,"(41.87046297, -87.720260149)"
12057028,JD239826,05/22/2020 04:00:00 AM,127XX S SANGAMON ST,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,false,false,0523,005,34,53,17,1172322,1820257,2020,05/29/2020 03:46:53 PM,41.662222132,-87.645045749,"(41.662222132, -87.645045749)"
12086959,JD274652,06/24/2020 12:15:00 PM,023XX S WESTERN AVE,1330,CRIMINAL TRESPASS,TO LAND,GAS STATION,true,false,1034,010,25,31,26,1160731,1888579,2020,07/01/2020 03:51:11 PM,41.849954132,-87.685580175,"(41.849954132, -87.685580175)"
12118976,JD312762,07/28/2020 12:00:00 PM,048XX W MADISON ST,0820,THEFT,$500 AND UNDER,FOREST PRESERVE,false,false,1533,015,28,25,06,1144224,1899588,2020,08/04/2020 03:50:35 PM,41.880489945,-87.745887499,"(41.880489945, -87.745887499)"
